acc,bal_acc,n,subject,rung
0.8888888888888888,0.8893280632411067,45,85,8-transfer-imag-to-exec
0.4444444444444444,0.43452380952380953,45,87,8-transfer-imag-to-exec
0.7555555555555555,0.7559523809523809,45,90,8-transfer-imag-to-exec
0.6888888888888889,0.683794466403162,45,93,8-transfer-imag-to-exec
0.9555555555555556,0.9565217391304348,45,94,8-transfer-imag-to-exec
0.4772727272727273,0.4855072463768116,44,95,8-transfer-imag-to-exec
0.7317073170731707,0.7345238095238096,41,96,8-transfer-imag-to-exec
0.5777777777777777,0.5741106719367589,45,97,8-transfer-imag-to-exec
0.6052631578947368,0.6111111111111112,38,99,8-transfer-imag-to-exec
0.6190476190476191,0.6190476190476191,42,102,8-transfer-imag-to-exec
0.6888888888888889,0.6815476190476191,45,105,8-transfer-imag-to-exec
0.7,0.6967418546365914,40,107,8-transfer-imag-to-exec
0.6,0.5889724310776943,40,108,8-transfer-imag-to-exec
0.6410256410256411,0.6486842105263158,39,109,8-transfer-imag-to-exec
