acc,bal_acc,n,subject,n_train_subjects,rep,rung
0.5111111111111111,0.5,45,62,5,0,5-learning-curve
0.8444444444444444,0.841897233201581,45,7,5,0,5-learning-curve
0.5333333333333333,0.5306324110671937,45,46,5,0,5-learning-curve
0.5333333333333333,0.5227272727272727,45,20,5,0,5-learning-curve
0.5714285714285714,0.5714285714285714,42,76,5,0,5-learning-curve
0.5333333333333333,0.5,45,51,5,0,5-learning-curve
0.5333333333333333,0.5424901185770751,45,68,5,0,5-learning-curve
0.7111111111111111,0.7045454545454546,45,33,5,0,5-learning-curve
0.4888888888888889,0.5,45,35,5,0,5-learning-curve
0.4888888888888889,0.5,45,70,5,0,5-learning-curve
0.7111111111111111,0.7045454545454546,45,42,5,0,5-learning-curve
0.9069767441860465,0.9069264069264069,43,72,5,0,5-learning-curve
0.4666666666666667,0.5,45,65,5,0,5-learning-curve
0.5681818181818182,0.5681818181818182,44,97,5,0,5-learning-curve
0.5111111111111111,0.49404761904761907,45,47,5,0,5-learning-curve
0.5111111111111111,0.5,45,62,5,1,5-learning-curve
0.5111111111111111,0.5,45,7,5,1,5-learning-curve
0.5555555555555556,0.5454545454545454,45,46,5,1,5-learning-curve
0.5111111111111111,0.5,45,20,5,1,5-learning-curve
0.5476190476190477,0.5476190476190476,42,76,5,1,5-learning-curve
0.5111111111111111,0.4791666666666667,45,51,5,1,5-learning-curve
0.5111111111111111,0.5217391304347826,45,68,5,1,5-learning-curve
0.6666666666666666,0.6590909090909091,45,33,5,1,5-learning-curve
0.4888888888888889,0.5,45,35,5,1,5-learning-curve
0.4888888888888889,0.5,45,70,5,1,5-learning-curve
0.7777777777777778,0.7826086956521738,45,42,5,1,5-learning-curve
0.9069767441860465,0.9058441558441559,43,72,5,1,5-learning-curve
0.5555555555555556,0.5238095238095238,45,65,5,1,5-learning-curve
0.5227272727272727,0.5227272727272727,44,97,5,1,5-learning-curve
0.6,0.5714285714285714,45,47,5,1,5-learning-curve
0.8444444444444444,0.8458498023715415,45,62,5,2,5-learning-curve
0.5111111111111111,0.5,45,7,5,2,5-learning-curve
0.5777777777777777,0.5681818181818181,45,46,5,2,5-learning-curve
0.5555555555555556,0.5652173913043478,45,20,5,2,5-learning-curve
0.5,0.5,42,76,5,2,5-learning-curve
0.5777777777777777,0.5535714285714286,45,51,5,2,5-learning-curve
0.6444444444444445,0.6511857707509882,45,68,5,2,5-learning-curve
0.6888888888888889,0.6847826086956521,45,33,5,2,5-learning-curve
0.5111111111111111,0.5217391304347826,45,35,5,2,5-learning-curve
0.4888888888888889,0.5,45,70,5,2,5-learning-curve
0.7777777777777778,0.7727272727272727,45,42,5,2,5-learning-curve
0.7441860465116279,0.75,43,72,5,2,5-learning-curve
0.6,0.5922619047619048,45,65,5,2,5-learning-curve
0.5,0.5,44,97,5,2,5-learning-curve
0.5333333333333333,0.5386904761904762,45,47,5,2,5-learning-curve
0.7111111111111111,0.7134387351778657,45,62,10,0,5-learning-curve
0.6444444444444445,0.6363636363636364,45,7,10,0,5-learning-curve
0.6666666666666666,0.6610671936758893,45,46,10,0,5-learning-curve
0.4888888888888889,0.49209486166007904,45,20,10,0,5-learning-curve
0.5,0.5,42,76,10,0,5-learning-curve
0.6444444444444445,0.6488095238095238,45,51,10,0,5-learning-curve
0.5111111111111111,0.5,45,68,10,0,5-learning-curve
0.6222222222222222,0.6136363636363636,45,33,10,0,5-learning-curve
0.4888888888888889,0.5,45,35,10,0,5-learning-curve
0.6444444444444445,0.6363636363636364,45,70,10,0,5-learning-curve
0.7555555555555555,0.7598814229249011,45,42,10,0,5-learning-curve
0.7209302325581395,0.725108225108225,43,72,10,0,5-learning-curve
0.4666666666666667,0.4970238095238095,45,65,10,0,5-learning-curve
0.5454545454545454,0.5454545454545454,44,97,10,0,5-learning-curve
0.7111111111111111,0.6934523809523809,45,47,10,0,5-learning-curve
0.7111111111111111,0.7045454545454546,45,62,10,1,5-learning-curve
0.5111111111111111,0.5,45,7,10,1,5-learning-curve
0.6,0.6057312252964426,45,46,10,1,5-learning-curve
0.5555555555555556,0.5484189723320158,45,20,10,1,5-learning-curve
0.5476190476190477,0.5476190476190477,42,76,10,1,5-learning-curve
0.5333333333333333,0.5,45,51,10,1,5-learning-curve
0.5555555555555556,0.5652173913043478,45,68,10,1,5-learning-curve
0.6,0.5909090909090909,45,33,10,1,5-learning-curve
0.5333333333333333,0.5434782608695652,45,35,10,1,5-learning-curve
0.4888888888888889,0.5,45,70,10,1,5-learning-curve
0.8444444444444444,0.8478260869565217,45,42,10,1,5-learning-curve
0.8604651162790697,0.8603896103896104,43,72,10,1,5-learning-curve
0.7111111111111111,0.7113095238095238,45,65,10,1,5-learning-curve
0.5227272727272727,0.5227272727272727,44,97,10,1,5-learning-curve
0.5555555555555556,0.5267857142857143,45,47,10,1,5-learning-curve
0.8,0.8043478260869565,45,62,10,2,5-learning-curve
0.5333333333333333,0.5227272727272727,45,7,10,2,5-learning-curve
0.5555555555555556,0.5563241106719368,45,46,10,2,5-learning-curve
0.4666666666666667,0.4624505928853755,45,20,10,2,5-learning-curve
0.5238095238095238,0.5238095238095238,42,76,10,2,5-learning-curve
0.5555555555555556,0.5565476190476191,45,51,10,2,5-learning-curve
0.6222222222222222,0.6146245059288538,45,68,10,2,5-learning-curve
0.7777777777777778,0.7727272727272727,45,33,10,2,5-learning-curve
0.6222222222222222,0.6254940711462451,45,35,10,2,5-learning-curve
0.6,0.6067193675889329,45,70,10,2,5-learning-curve
0.7333333333333333,0.7292490118577075,45,42,10,2,5-learning-curve
0.8837209302325582,0.8841991341991342,43,72,10,2,5-learning-curve
0.7111111111111111,0.7053571428571428,45,65,10,2,5-learning-curve
0.5227272727272727,0.5227272727272727,44,97,10,2,5-learning-curve
0.5111111111111111,0.48809523809523814,45,47,10,2,5-learning-curve
0.5111111111111111,0.5,45,62,20,0,5-learning-curve
0.5111111111111111,0.5,45,7,20,0,5-learning-curve
0.6444444444444445,0.642292490118577,45,46,20,0,5-learning-curve
0.4888888888888889,0.4851778656126482,45,20,20,0,5-learning-curve
0.5,0.5,42,76,20,0,5-learning-curve
0.4888888888888889,0.4642857142857143,45,51,20,0,5-learning-curve
0.6,0.607707509881423,45,68,20,0,5-learning-curve
0.7333333333333333,0.7302371541501976,45,33,20,0,5-learning-curve
0.5555555555555556,0.5642292490118577,45,35,20,0,5-learning-curve
0.4888888888888889,0.5,45,70,20,0,5-learning-curve
0.9333333333333333,0.9318181818181819,45,42,20,0,5-learning-curve
0.8604651162790697,0.8582251082251082,43,72,20,0,5-learning-curve
0.5777777777777777,0.5773809523809523,45,65,20,0,5-learning-curve
