rung,model,acc,ci
0-pooled-leaky,ts_logreg,0.6470262793914247,0.015578802335672062
1-within-subject,laterality,0.5644303606061323,0.02294647828302791
1-within-subject,csp_lda,0.6337316411856407,0.030552895942660134
1-within-subject,ts_logreg,0.6586316558190013,0.03145405164814347
2-loso,csp_lda,0.6256237921077163,0.0303787939454218
2-loso,laterality,0.5896195492052437,0.023305941631507114
2-loso,ts_logreg,0.6229286420823485,0.02522256951409945
2b-loso-recentered,ts_logreg_recentered,0.6573895101005386,0.028403158720300418
