acc,bal_acc,n,subject,perm,rung
0.5111111111111111,0.5108695652173914,45,50,0,5-permutation-null
0.6,0.5968379446640316,45,50,1,5-permutation-null
0.35555555555555557,0.3577075098814229,45,50,2,5-permutation-null
0.4,0.40217391304347827,45,50,3,5-permutation-null
0.4888888888888889,0.49011857707509876,45,50,4,5-permutation-null
0.4222222222222222,0.4199604743083004,45,50,5,5-permutation-null
0.4,0.3982213438735178,45,50,6,5-permutation-null
0.28888888888888886,0.2885375494071146,45,50,7,5-permutation-null
0.4888888888888889,0.48616600790513836,45,50,8,5-permutation-null
0.37777777777777777,0.3735177865612648,45,50,9,5-permutation-null
0.4222222222222222,0.41897233201581024,45,50,10,5-permutation-null
0.4222222222222222,0.4258893280632411,45,50,11,5-permutation-null
0.4444444444444444,0.44565217391304346,45,50,12,5-permutation-null
0.5555555555555556,0.5523715415019763,45,50,13,5-permutation-null
0.4444444444444444,0.44466403162055335,45,50,14,5-permutation-null
0.5555555555555556,0.5563241106719368,45,50,15,5-permutation-null
0.28888888888888886,0.2924901185770751,45,50,16,5-permutation-null
0.4222222222222222,0.4209486166007905,45,50,17,5-permutation-null
0.6,0.5978260869565217,45,50,18,5-permutation-null
0.4666666666666667,0.45948616600790515,45,50,19,5-permutation-null
0.6,0.5948616600790514,45,50,20,5-permutation-null
0.4444444444444444,0.44664031620553357,45,50,21,5-permutation-null
0.4222222222222222,0.42193675889328064,45,50,22,5-permutation-null
0.5333333333333333,0.5335968379446641,45,50,23,5-permutation-null
0.4444444444444444,0.4407114624505929,45,50,24,5-permutation-null
0.4222222222222222,0.4199604743083004,45,50,25,5-permutation-null
0.5111111111111111,0.5098814229249011,45,50,26,5-permutation-null
0.4222222222222222,0.4209486166007905,45,50,27,5-permutation-null
0.37777777777777777,0.38142292490118573,45,50,28,5-permutation-null
0.4,0.39723320158102765,45,50,29,5-permutation-null
0.4888888888888889,0.48616600790513836,45,50,30,5-permutation-null
0.4666666666666667,0.46640316205533594,45,50,31,5-permutation-null
0.4888888888888889,0.49011857707509876,45,50,32,5-permutation-null
0.4888888888888889,0.4851778656126482,45,50,33,5-permutation-null
0.4444444444444444,0.4496047430830039,45,50,34,5-permutation-null
0.37777777777777777,0.3735177865612648,45,50,35,5-permutation-null
0.4222222222222222,0.424901185770751,45,50,36,5-permutation-null
0.5333333333333333,0.5296442687747036,45,50,37,5-permutation-null
0.4666666666666667,0.46837944664031617,45,50,38,5-permutation-null
0.37777777777777777,0.38142292490118573,45,50,39,5-permutation-null
0.35555555555555557,0.35276679841897235,45,50,40,5-permutation-null
0.4,0.39624505928853754,45,50,41,5-permutation-null
0.4,0.39624505928853754,45,50,42,5-permutation-null
0.4222222222222222,0.4150197628458498,45,50,43,5-permutation-null
0.4,0.3952569169960475,45,50,44,5-permutation-null
0.6,0.6007905138339921,45,50,45,5-permutation-null
0.4666666666666667,0.4654150197628458,45,50,46,5-permutation-null
0.4,0.4041501976284585,45,50,47,5-permutation-null
0.4222222222222222,0.424901185770751,45,50,48,5-permutation-null
0.5333333333333333,0.5345849802371542,45,50,49,5-permutation-null
0.4444444444444444,0.44664031620553357,45,50,50,5-permutation-null
0.4222222222222222,0.4199604743083004,45,50,51,5-permutation-null
0.4,0.4051383399209486,45,50,52,5-permutation-null
0.4222222222222222,0.42391304347826086,45,50,53,5-permutation-null
0.5555555555555556,0.5533596837944664,45,50,54,5-permutation-null
0.37777777777777777,0.3735177865612648,45,50,55,5-permutation-null
0.4444444444444444,0.44664031620553357,45,50,56,5-permutation-null
0.5111111111111111,0.5088932806324111,45,50,57,5-permutation-null
0.5333333333333333,0.5296442687747036,45,50,58,5-permutation-null
0.37777777777777777,0.38142292490118573,45,50,59,5-permutation-null
0.4,0.4041501976284585,45,50,60,5-permutation-null
0.6444444444444445,0.6452569169960474,45,50,61,5-permutation-null
0.5111111111111111,0.5069169960474308,45,50,62,5-permutation-null
0.37777777777777777,0.3735177865612648,45,50,63,5-permutation-null
0.4666666666666667,0.46739130434782605,45,50,64,5-permutation-null
0.4888888888888889,0.4891304347826087,45,50,65,5-permutation-null
0.6,0.599802371541502,45,50,66,5-permutation-null
0.5111111111111111,0.5079051383399209,45,50,67,5-permutation-null
0.28888888888888886,0.2924901185770751,45,50,68,5-permutation-null
0.37777777777777777,0.37944664031620556,45,50,69,5-permutation-null
0.4666666666666667,0.4624505928853755,45,50,70,5-permutation-null
0.37777777777777777,0.38142292490118573,45,50,71,5-permutation-null
0.4444444444444444,0.44466403162055335,45,50,72,5-permutation-null
0.4666666666666667,0.46640316205533594,45,50,73,5-permutation-null
0.5333333333333333,0.5316205533596838,45,50,74,5-permutation-null
0.4444444444444444,0.4486166007905138,45,50,75,5-permutation-null
0.5111111111111111,0.5148221343873518,45,50,76,5-permutation-null
0.4222222222222222,0.4199604743083004,45,50,77,5-permutation-null
0.35555555555555557,0.3517786561264822,45,50,78,5-permutation-null
0.37777777777777777,0.37549407114624506,45,50,79,5-permutation-null
0.3333333333333333,0.3310276679841897,45,50,80,5-permutation-null
0.37777777777777777,0.3715415019762846,45,50,81,5-permutation-null
0.35555555555555557,0.3577075098814229,45,50,82,5-permutation-null
0.37777777777777777,0.3824110671936759,45,50,83,5-permutation-null
0.5555555555555556,0.5573122529644269,45,50,84,5-permutation-null
0.4222222222222222,0.42391304347826086,45,50,85,5-permutation-null
0.4222222222222222,0.42391304347826086,45,50,86,5-permutation-null
0.6222222222222222,0.6185770750988142,45,50,87,5-permutation-null
0.4666666666666667,0.46936758893280633,45,50,88,5-permutation-null
0.28888888888888886,0.2924901185770751,45,50,89,5-permutation-null
0.4444444444444444,0.441699604743083,45,50,90,5-permutation-null
0.4,0.4031620553359684,45,50,91,5-permutation-null
0.4,0.39624505928853754,45,50,92,5-permutation-null
0.4444444444444444,0.441699604743083,45,50,93,5-permutation-null
0.4888888888888889,0.48122529644268774,45,50,94,5-permutation-null
0.37777777777777777,0.38142292490118573,45,50,95,5-permutation-null
0.4444444444444444,0.44466403162055335,45,50,96,5-permutation-null
0.4444444444444444,0.44565217391304346,45,50,97,5-permutation-null
0.4222222222222222,0.41897233201581024,45,50,98,5-permutation-null
0.5111111111111111,0.5098814229249011,45,50,99,5-permutation-null
0.4888888888888889,0.4891304347826087,45,7,0,5-permutation-null
0.5111111111111111,0.5108695652173914,45,7,1,5-permutation-null
0.4222222222222222,0.42391304347826086,45,7,2,5-permutation-null
0.4444444444444444,0.4426877470355731,45,7,3,5-permutation-null
0.3111111111111111,0.31422924901185767,45,7,4,5-permutation-null
0.4666666666666667,0.47035573122529645,45,7,5,5-permutation-null
0.3111111111111111,0.3073122529644269,45,7,6,5-permutation-null
0.37777777777777777,0.37450592885375494,45,7,7,5-permutation-null
0.4444444444444444,0.4407114624505929,45,7,8,5-permutation-null
0.5777777777777777,0.5780632411067194,45,7,9,5-permutation-null
0.3333333333333333,0.3300395256916996,45,7,10,5-permutation-null
0.5555555555555556,0.5543478260869565,45,7,11,5-permutation-null
0.6444444444444445,0.6393280632411067,45,7,12,5-permutation-null
0.4,0.3982213438735178,45,7,13,5-permutation-null
0.4222222222222222,0.42193675889328064,45,7,14,5-permutation-null
0.4666666666666667,0.4644268774703557,45,7,15,5-permutation-null
0.5333333333333333,0.5316205533596838,45,7,16,5-permutation-null
0.4,0.3952569169960475,45,7,17,5-permutation-null
0.5111111111111111,0.5118577075098814,45,7,18,5-permutation-null
0.5555555555555556,0.5523715415019763,45,7,19,5-permutation-null
0.4444444444444444,0.441699604743083,45,7,20,5-permutation-null
0.5555555555555556,0.558300395256917,45,7,21,5-permutation-null
0.6222222222222222,0.6225296442687747,45,7,22,5-permutation-null
0.5777777777777777,0.5731225296442688,45,7,23,5-permutation-null
0.5333333333333333,0.5306324110671937,45,7,24,5-permutation-null
0.4666666666666667,0.4654150197628458,45,7,25,5-permutation-null
0.4222222222222222,0.42391304347826086,45,7,26,5-permutation-null
0.4666666666666667,0.4634387351778656,45,7,27,5-permutation-null
0.4666666666666667,0.4644268774703557,45,7,28,5-permutation-null
0.5555555555555556,0.5592885375494071,45,7,29,5-permutation-null
0.4,0.3982213438735178,45,7,30,5-permutation-null
0.4888888888888889,0.4841897233201581,45,7,31,5-permutation-null
0.4,0.40019762845849804,45,7,32,5-permutation-null
0.5777777777777777,0.575098814229249,45,7,33,5-permutation-null
0.4888888888888889,0.48616600790513836,45,7,34,5-permutation-null
0.37777777777777777,0.38142292490118573,45,7,35,5-permutation-null
0.37777777777777777,0.37549407114624506,45,7,36,5-permutation-null
0.6222222222222222,0.6245059288537549,45,7,37,5-permutation-null
0.4888888888888889,0.48814229249011853,45,7,38,5-permutation-null
0.5111111111111111,0.5118577075098814,45,7,39,5-permutation-null
0.4888888888888889,0.48122529644268774,45,7,40,5-permutation-null
0.4666666666666667,0.4654150197628458,45,7,41,5-permutation-null
0.4888888888888889,0.4891304347826087,45,7,42,5-permutation-null
0.6444444444444445,0.6462450592885376,45,7,43,5-permutation-null
0.4222222222222222,0.424901185770751,45,7,44,5-permutation-null
0.5777777777777777,0.5790513833992095,45,7,45,5-permutation-null
0.5333333333333333,0.5326086956521738,45,7,46,5-permutation-null
0.4444444444444444,0.4426877470355731,45,7,47,5-permutation-null
0.6222222222222222,0.6235177865612648,45,7,48,5-permutation-null
0.4444444444444444,0.44367588932806323,45,7,49,5-permutation-null
0.5777777777777777,0.5770750988142292,45,7,50,5-permutation-null
0.5111111111111111,0.5079051383399209,45,7,51,5-permutation-null
0.5777777777777777,0.5731225296442688,45,7,52,5-permutation-null
0.35555555555555557,0.3577075098814229,45,7,53,5-permutation-null
0.5555555555555556,0.5533596837944664,45,7,54,5-permutation-null
0.4666666666666667,0.4654150197628458,45,7,55,5-permutation-null
0.6,0.5988142292490118,45,7,56,5-permutation-null
